"plotcode" "Senf.DA" "Senf.DS"
"500002" 0.460198393368379 0.770208826995995
"500008" 0.0214859173174059 0.873333333333333
"500012" 0.0214859173174059 0.693333333333333
"500013" 0.000254590712278877 0.89
"500098" 0.0214859173174059 0.6
"500111" 0.0862943261656918 0.827226624347809
"500137" 0.203371784136892 0.616191161572758
"500151" 0.0457723192363879 0.9891140259264
"500190" 0.0154177174640448 0.668329262243436
"500191" 0.0619711846591643 0.843823145175788
"500192" 0.312795169486967 0.805043452318004
"500214" 0.182707164777246 0.772135878676586
"500217" 0.341191852636499 0.889552552424952
"500222" 0.342112440780697 0.934677580728253
"500258" 0.0214859173174059 0.706666666666667
"500271" 0.926219204601634 0.989286754505696
"500303" 0.671926711320279 0.975332925638595
"500313" 0.0240045077089239 0.559448101729455
"500324" 0.0564511480216739 0.437272832332907
"500331" 1.20670949763545e-05 0.92
"500357" 0.441557287499706 0.87427405170422
"500360" 0.0205463495949536 0.54954991790866
"500380" 0.0218032311509369 0.512391052515328
"500483" 0.355586792530383 0.910794346951288
"500490" 0.0579864725544926 0.860506352972456
"500517" 0.0597316658886896 0.592795052921041
"500534" 0.340661584056756 0.826669235923553
"500593" 0.42126524356002 0.955108970086452
"500596" 0.401216977911162 0.714761196046538
"500653" 0.0531233715355124 0.65166435693559
"500675" 0.0286478897565412 0.4975
"500735" 0.107861318942454 0.667418690562196
"500769" 0.149226343417479 0.654182895839414
"500781" 0.0963825791225764 0.868041741922183
"500793" 0.274525705931926 0.680042359054935
"500804" 0.0519716062873658 0.729100141908581
"500812" 0.0238234676519335 0.606935730937691
"500854" 0.147697997797198 0.708284721297747
"500865" 0.174647525318205 0.719412476133644
"500894" 0.0271127685085617 0.561125707156654
"500916" 0.177173853670387 0.223038595200219
"500928" 0.176967811340335 0.79814876929037
"500933" 0.188321427832993 0.901743641821713
"500945" 0.0109602124620491 0.544172768965618
"500967" 0.0017339628356748 0.31
"501000" 0.248873298889978 0.539874222935189
"501015" 0.246253740763065 0.753956528574971
"501025" 0.0491223094454015 0.442683123440587
"501041" 0.241513825527062 0.939983668611882
"501077" 0.0717299434741545 0.62005660581463
"501090" 0.0438552551974035 0.955650093118253
"501113" 0.13460810098003 0.74285141619828
"501152" 0.0432773470753957 0.776736763501295
"501166" 0.09696558037791 0.54155781142137
"501198" 0.0245800632343041 0.399435146997049
"501231" 0.0762039652950354 0.612248183274444
"501289" 0.206952086234474 0.953322061504798
"501291" 0.0214859173174059 0.746666666666667
"501355" 0.0305435908314316 0.597528266746119
"501367" 0.159879400255679 0.810461356019658
"501374" 0.0286478897565412 0.47
"501379" 0.0782424405455553 0.426785585039365
"501394" 0.0410322116015767 0.838581877780265
"501451" 0.0286478897565412 0.7375
"501452" 0.568407001811916 0.923084721069988
"501458" 0.172840771604912 0.916526205709569
"501460" 0.142059014722653 0.619912789100615
"501463" 0.0599436444981499 0.340648805589664
"501480" 0.0559490505705025 0.795013782579203
"501490" 0.00222463700890276 0.350373966861269
"501513" 0.0414835431441782 0.834685909706235
"501524" 0.0777597372464444 0.4853642301566
"501528" 0.0358098621956765 0.624
"501545" 0.0644577519522176 0.484444444444444
"501590" 0.434794714765803 0.649505349264573
"501605" 7.39840821511558e-05 0.7
"501642" 0.477581724821328 0.956463596527587
"501720" 0.0190028801649364 0.308391130627316
"501725" 0.119530371698249 0.57136200501271
"501732" 0.197495229934212 0.716138809140291
"501764" 3.11211733188346e-05 0.77
"501791" 0.309852048654236 0.977415823547388
"501812" 0.0884801360037622 0.666640309300449
"501827" 0.0807324311874506 0.46273733769451
"501836" 0.256744564837844 0.935529383565969
"501876" 0.133366607425763 0.685255647203492
"501898" 0.219591312386017 0.815109987575882
"501914" 0.0214859173174059 0.286666666666667
"501916" 0.0157225880076584 0.579872370989385
"501918" 0.123607970647043 0.869279821105255
"501925" 1.96581999034291e-05 0.52
"501931" 0.0286478897565412 0.6275
"501933" 0.0466540791825572 0.42841848695746
"501988" 0.0505331366984536 0.561577608730337
"501991" 0.0171724504677908 0.649105503521241
"502008" 0.271386980699334 0.819076109157724
"502035" 0.490922390281042 0.830848864702266
"502066" 0.688944309271957 0.946926488599782
"502077" 0.0835412179840145 0.770765464951295
"502091" 0.0196813222148635 0.405610333997086
"502092" 0.0304964164223816 0.920979399814505
"502101" 0.184260693222064 0.571272669754217
"502116" 0.394733694681295 0.84906835552763
"502118" 0.102005187805762 0.727801981308648
"502139" 0.0596865624476908 0.785590665346022
"502169" 0.0880488940812669 0.921250190416702
"502194" 0.0286478897565412 0.4875
"502261" 0.050133807073947 0.721428571428571
"502275" 0.297388551669889 0.684018642142513
"502290" 0.0403902365719585 0.234312446940678
"502327" 0.0286478897565412 0.795
"502329" 0.283430828062041 0.824395651404076
"502343" 0.166066582226258 0.857634065092513
"502373" 0.110298733519527 0.483521435560703
"502383" 0.122595639536149 0.612098345552973
"502387" 0.0520232711322484 0.695266228164094
"502398" 0.0168706244527658 0.246697558262328
"502470" 0.00164099877172799 0.965217949534529
"502508" 0.113015172229819 0.839688839591769
"502553" 0.0830317572554125 0.57317570184417
"502569" 0.915364467683509 0.916928057858268
"502599" 0.050133807073947 0.787142857142857
"502669" 0.0539786691110266 0.586274481609113
"502696" 0.615156063384322 0.877138904930626
"502706" 0.0931056417087588 0.514615384615385
"502710" 0.0380883800994189 0.927909986259466
"502748" 0.169015516782274 0.875581864667197
"502786" 0.0319782605698303 0.63909307934671
"502797" 0.0193487784968914 0.429306932851063
"502825" 0.84963827262029 0.978375985939012
"502845" 0.143951039661666 0.66024418328201
"502849" 0.0675135715699292 0.680602003188724
"502856" 0.121369239516107 0.884582083768018
"502874" 0.136157297856234 0.732254960073038
"502888" 0.12901874784998 0.581791164581196
"502910" 0.323143708052509 0.98703992711163
"502916" 0.291784835293282 0.864534924615842
"503013" 0.0188273255202468 0.569242332636878
"503044" 0.0740053822561651 0.556738083291353
"503060" 0.0214859173174059 0.65
"503081" 0.00392751586710824 0.48
"503102" 0.43869036688371 0.797481412337633
"503138" 0.0213475825612987 0.3481756872197
"503140" 0.79773636308395 0.889840384109061
"503146" 0.295053315825669 0.758040976988355
"503167" 0.0628615009380533 0.457610819256785
"503243" 0.866319966480842 0.985931357366527
"503247" 0.0501765517851551 0.620598394462164
"503275" 0.0462804582033236 0.549054603853054
"503301" 0.275127958502322 0.901681136713363
"503309" 0.0582863314327231 0.644896028691412
