"plotcode" "wai" "sgdd"
"300012" 0.455770630215182 1855.10375
"300019" 0.0571685932314529 2504.99166666667
"300051" -0.0506935001543488 2536.03388888889
"300055" -0.0800484387574902 2482.2
"300089" -0.202590502819298 2582.80611111111
"300090" 0.229132686049402 2305.863125
"300133" -0.046141182962839 2893.26611111111
"300135" 0.170709348518357 1563.70555555556
"300142" -0.228870435343732 2899.830625
"300143" 1.11531312717856 962.492222222222
"300159" 0.553526196094148 2132.72333333333
"300163" 0.0748586640462673 2478.03111111111
"300164" -0.318915295399398 2967.60611111111
"300186" -0.0628661435134956 2652.98777777778
"300194" -0.20054455986278 2312.2125
"300226" 0.0447669867631599 2432.19833333333
"300234" -0.14014266366267 2777.65777777778
"300263" 0.190384819908612 2545.11333333333
"300268" -0.139508562190567 2623.63055555556
"300272" -0.152215078969087 2958.65555555556
"300275" -0.549863784187083 3609.33555555556
"300276" 0.0310107132533094 2679.41111111111
"300291" -0.215378269413297 3196.43944444444
"300297" 0.039661581195813 2321.67333333333
"300304" -0.115241664847043 2324.38888888889
"300319" -0.471230561174613 3134.04
"300321" 0.125681180933085 2287.679375
"300333" 0.628265331297741 1229.96944444444
"300392" 0.281298160122714 1035.75444444444
"300403" 0.204739916073563 1470.07722222222
"300446" 0.0797530704033637 1870.62833333333
"300458" -0.300492313227573 2940.383125
"300477" 0.0246751384105351 2580.81944444444
"300491" -0.176350519945022 2783.635
"300513" 1.07968631650879 1336.08
"300527" -0.200922495551408 2576.36555555556
"300529" 0.00860912828539015 2341.23
"300538" 0.180150804600577 2575.479375
"300539" -0.163862839292571 3100.21
"300567" -0.162192367935581 2591.99555555556
"300576" 1.09054166019991 1884.131875
"300577" -0.172218711150407 2528.86
"300580" -0.155043666019534 2787.44277777778
"300587" 0.425989577474974 2083.58055555556
"300606" 0.106192393430392 2400.00333333333
"300621" 0.47930502155939 1984.14333333333
"300651" -0.0149740223584591 2761.89055555556
"300656" -0.0322887840489985 1752.320625
"300657" -0.335921602945947 3175.92722222222
"300668" -0.138413785946425 2772.00055555556
"300681" -0.406903159918291 2623.88277777778
"300703" -0.201533061426273 3148.785
"300707" 0.46183455710199 2265.00722222222
"300714" -0.128550533499583 2635.55555555556
"300739" 0.545672929915177 2174.17055555556
"300749" -0.204480049534698 2648.39666666667
"300768" 0.0353506569871316 1931.31611111111
